SlotNum,PinNum,Xcoord,YCoord
0,0,-99999.9,-99999.9
0,1,-99999.9,-99999.9
0,2,-99999.9,-99999.9
0,3,-99999.9,-99999.9
0,4,-99999.9,-99999.9
0,5,-99999.9,-99999.9
0,6,-99999.9,-99999.9
0,7,-99999.9,-99999.9
1,0,-99999.9,-99999.9
1,1,2253.67,1969.51
1,2,2234.03,2331.13
1,3,-99999.9,-99999.9
1,4,-99999.9,-99999.9
1,5,-99999.9,-99999.9
1,6,-99999.9,-99999.9
1,7,-99999.9,-99999.9
2,0,2582.35,1720.47
2,1,2689.33,1906.84
2,2,-99999.9,-99999.9
2,3,-99999.9,-99999.9
2,4,-99999.9,-99999.9
2,5,-99999.9,-99999.9
2,6,-99999.9,-99999.9
2,7,-99999.9,-99999.9
3,0,3076.35,1903.35
3,1,3087.6,2003.61
3,2,2940.55,1887.37
3,3,2971.31,1992.57
3,4,-99999.9,-99999.9
3,5,-99999.9,-99999.9
3,6,-99999.9,-99999.9
3,7,-99999.9,-99999.9
4,0,3303.32,1893.9
4,1,3311.59,1979.12
4,2,3433.22,1873.02
4,3,3446.72,1993.84
4,4,3390.89,2442.24
4,5,-99999.9,-99999.9
4,6,-99999.9,-99999.9
4,7,-99999.9,-99999.9
5,0,-99999.9,-99999.9
5,1,-99999.9,-99999.9
5,2,3674.76,1916.13
5,3,3758.71,2074.53
5,4,3789.63,2370.84
5,5,-99999.9,-99999.9
5,6,-99999.9,-99999.9
5,7,-99999.9,-99999.9
